test_accuracy,test_precision,test_recall,test_f1_macro,test_roc_auc,test_pr_auc,test_fpr,minority_recall,method,n_qubits,total_full_trainings,total_shots,episodes_to_convergence,wall_time_total_sec,status,dataset,protocol,seed,run_wall_time_sec,stage1_full_trainings,stage2_full_trainings,rl_budget,wall_time_stage1_sec,wall_time_stage2_sec,wall_time_final_sec,selected_features_idx,best_hyperparams,circuit_depth,low_fidelity_evals,full_fidelity_evals,total_circuit_evals,best_val_f1_macro,wall_time_search_sec,note
0.9093333333333333,0.9081750704141596,0.908047861301666,0.9081110468989506,0.9768613178791721,0.971699485997085,0.08074162679425838,0.9192583732057417,4_classical_actor_critic,0.0,61,0.0,60.0,5.31,ok,UNSW-NB15,A,43,5.31,,,60.0,,,,,"{'n_estimators': 175.0, 'max_depth': 5.0, 'learning_rate': 0.12000000000000001, 'min_child_weight': 1.0, 'gamma': 0.0, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",0.0,51.0,9.0,0.0,0.9061933616735847,,
0.9043333333333333,0.9029892335553666,0.9031749005591745,0.9030811307741724,0.9769680546348072,0.9714408686643491,0.0867224880382775,0.9132775119617225,5_vqc_actor_critic_ordinary_grad,4.0,61,1966080.0,60.0,9.51,ok,UNSW-NB15,A,43,9.51,,,60.0,,,,,"{'n_estimators': 225.0, 'max_depth': 5.0, 'learning_rate': 0.08, 'min_child_weight': 1.0, 'gamma': 0.0, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",11.0,51.0,9.0,3900.0,0.8870209161921722,,
0.906,0.9044114475500344,0.9053672825272381,0.9048627504606173,0.9767563825877672,0.9712193836224546,0.08911483253588516,0.9108851674641149,6_qnac_fixed_shots,4.0,61,1966080.0,60.0,8.86,ok,UNSW-NB15,A,43,8.86,,,60.0,,,,,"{'n_estimators': 175.0, 'max_depth': 5.0, 'learning_rate': 0.08, 'min_child_weight': 2.0, 'gamma': 0.0, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",11.0,51.0,9.0,3900.0,0.8850971997424251,,
0.901,0.9000702473238523,0.899099988470629,0.8995617125641083,0.9726420634691877,0.9661071019652689,0.08433014354066985,0.9156698564593302,7_sf_qnac_ids,4.0,61,153600.0,60.0,8.73,ok,UNSW-NB15,A,43,8.73,,,60.0,,,,,"{'n_estimators': 250.0, 'max_depth': 9.0, 'learning_rate': 0.01, 'min_child_weight': 2.0, 'gamma': 0.5, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",11.0,51.0,9.0,3900.0,0.8881648106297421,,
0.7176666666666667,0.7687032767255997,0.7404360264022598,0.7139711420408502,0.7788995395457426,0.6684137391323717,0.458133971291866,0.5418660287081339,bench_logreg,,1,,,2.24,ok,UNSW-NB15,A,43,2.24,,,,,,,,,,,,,,,
0.9126666666666666,0.9106753384200628,0.913826958551911,0.9118769272717815,0.9759110454977806,0.9684375434644945,0.09629186602870814,0.9037081339712919,bench_random_forest,,1,,,1.11,ok,UNSW-NB15,A,43,1.11,,,,,,,,,,,,,,,
0.9116666666666666,0.9098262593675437,0.9119228108606676,0.9107318405825628,0.9779937633308352,0.9731164953116138,0.090311004784689,0.909688995215311,bench_lightgbm,,1,,,0.3,ok,UNSW-NB15,A,43,0.3,,,,,,,,,,,,,,,
0.9103333333333333,0.9087736834420872,0.9097970830691187,0.9092551942967733,0.9784792579408542,0.9732789631539157,0.08552631578947369,0.9144736842105263,bench_optuna_xgboost,,26,,,12.4,ok,UNSW-NB15,A,43,12.4,,,,,,,,"{'n_estimators': 393, 'max_depth': 9, 'learning_rate': 0.06009712171554235, 'min_child_weight': 1, 'gamma': 1.149405835392925, 'subsample': 0.8182747769806777, 'colsample_bytree': 0.7100761687421444}",,,,,,11.62,
0.7113333333333334,0.7307870370370371,0.6885862829307661,0.6872809281328722,0.8237708609557848,0.7727699622901261,0.11303827751196172,0.8869617224880383,bench_quantum_kernel_classifier,3.0,1,0.0,,1.9,ok,UNSW-NB15,A,43,1.9,,,,,,,,,,,,,,,"analytic (shot-free) quantum feature map, classical simulate-only deployment"
0.902,0.9010010179843909,0.9002295065429181,0.9006002751636828,0.9763456487432984,0.9720248125215494,0.08433014354066985,0.9156698564593302,1_xgboost_default,0.0,1,0.0,0.0,0.43,ok,UNSW-NB15,A,44,0.43,,,,,,,,,,,,,,,
0.866,0.8637735889502605,0.8668483743586788,0.8648561423891821,0.9539647075142675,0.9417831029940764,0.14055023923444976,0.8594497607655502,2_sho_xgboost,0.0,61,0.0,0.0,3.98,ok,UNSW-NB15,A,44,3.98,,,,,,,,,,,,,,,
0.8356666666666667,0.8590059874557758,0.8510225110970197,0.8354494416462444,0.8720296106675506,0.7823849477485663,0.28289473684210525,0.7171052631578947,3_qrl_sho_xgboost_reproduction,8.0,142,2138103808.0,11.0,50.38,ok,UNSW-NB15,A,44,50.39,60.0,81.0,80.0,42.22,5.37,2.79,"[5, 11, 13, 14, 28, 31, 37, 41]","{'n_estimators': 60, 'max_depth': 4}",,,,,,,
0.8973333333333333,0.8962630587182061,0.8955006629388367,0.8958669549333819,0.9737301478641841,0.9690483725782718,0.08851674641148326,0.9114832535885168,4_classical_actor_critic,0.0,61,0.0,60.0,4.91,ok,UNSW-NB15,A,44,4.91,,,60.0,,,,,"{'n_estimators': 200.0, 'max_depth': 4.0, 'learning_rate': 0.18, 'min_child_weight': 2.0, 'gamma': 1.0, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",0.0,51.0,9.0,0.0,0.8925993901137932,,
0.9066666666666666,0.9057389772505757,0.9049583501469995,0.9053335953939835,0.9759567576526201,0.9717450296403719,0.08014354066985646,0.9198564593301436,5_vqc_actor_critic_ordinary_grad,4.0,61,1966080.0,60.0,6.16,ok,UNSW-NB15,A,44,6.16,,,60.0,,,,,"{'n_estimators': 100.0, 'max_depth': 5.0, 'learning_rate': 0.12000000000000001, 'min_child_weight': 5.0, 'gamma': 0.5, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",11.0,51.0,9.0,3900.0,0.9016482783203339,,
0.8973333333333333,0.8956500172532782,0.8965851444053727,0.8960912309995395,0.9743712439470802,0.9696955882233078,0.09688995215311005,0.90311004784689,6_qnac_fixed_shots,4.0,61,1966080.0,60.0,7.69,ok,UNSW-NB15,A,44,7.69,,,60.0,,,,,"{'n_estimators': 150.0, 'max_depth': 8.0, 'learning_rate': 0.14, 'min_child_weight': 2.0, 'gamma': 0.5, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 1.0}",11.0,51.0,9.0,3900.0,0.8992904935779106,,
